root,history,link_msgs,observer_msgs,rounds,runs
veyru/1779908251,0.0,150,91,11,3
veyru/1779908251,1.0,171,95,11,3
veyru/1779908251,5.0,172,95,11,3
veyru/1779908251,10.0,172,93,11,3
veyru/1779909805,0.0,250,146,11,3
veyru/1779909805,1.0,327,176,11,3
veyru/1779909805,5.0,260,131,11,3
veyru/1779909805,10.0,264,136,11,3
veyru/1779978245,0.0,172,132,11,3
veyru/1779978245,1.0,134,78,11,3
veyru/1779978245,5.0,165,91,11,3
veyru/1779978245,10.0,153,84,11,3
veyru/1779978252,0.0,133,82,11,3
veyru/1779978252,1.0,137,77,11,3
veyru/1779978252,5.0,169,93,11,3
veyru/1779978252,10.0,139,70,11,3
veyru/1780424131,0.0,144,105,11,3
veyru/1780424131,1.0,103,66,11,3
veyru/1780424131,5.0,112,69,11,3
veyru/1780424131,10.0,126,71,11,3
veyru/1780425678,0.0,195,127,11,3
veyru/1780425678,1.0,229,128,11,3
veyru/1780425678,5.0,211,117,11,3
veyru/1780425678,10.0,226,123,11,3
veyru/1780476965,0.0,143,79,10,3
veyru/1780476965,1.0,179,101,10,3
veyru/1780476965,5.0,191,98,10,3
veyru/1780476965,10.0,225,119,11,3
veyru/1780476985,0.0,168,94,10,3
veyru/1780476985,1.0,245,132,10,3
veyru/1780476985,5.0,254,131,11,3
veyru/1780476985,10.0,281,151,11,3
veyru/1780478036,0.0,84,56,10,3
veyru/1780478036,1.0,77,52,10,3
veyru/1780478036,5.0,84,57,10,3
veyru/1780478036,10.0,89,60,11,3
veyru/1780478169,0.0,166,95,10,3
veyru/1780478169,1.0,215,121,10,3
veyru/1780478169,5.0,193,103,10,3
veyru/1780478169,10.0,192,101,10,3
veyru/1780478385,0.0,157,87,10,3
veyru/1780478385,1.0,181,92,10,3
veyru/1780478385,5.0,202,101,11,3
veyru/1780478385,10.0,203,102,10,3
veyru/1780478524,0.0,89,57,10,3
veyru/1780478524,1.0,109,67,10,3
veyru/1780478524,5.0,128,74,10,3
veyru/1780478524,10.0,142,83,11,3
veyru/1780478844,0.0,158,88,10,3
veyru/1780478844,1.0,197,105,10,3
veyru/1780478844,5.0,224,115,11,3
veyru/1780478844,10.0,236,120,11,3
veyru/1780478990,0.0,130,74,10,3
veyru/1780478990,1.0,139,81,10,3
veyru/1780478990,5.0,169,86,11,3
veyru/1780478990,10.0,173,88,11,3
veyru/1780479757,0.0,157,93,10,3
veyru/1780479757,1.0,118,65,10,3
veyru/1780479757,5.0,162,89,11,3
veyru/1780479757,10.0,166,90,11,3
veyru/1780480309,0.0,151,86,10,3
veyru/1780480309,1.0,191,103,10,3
veyru/1780480309,5.0,209,106,11,3
veyru/1780480309,10.0,224,115,11,3
veyru/1780598092,0.0,169,106,11,3
veyru/1780598092,1.0,216,125,11,3
veyru/1780598092,5.0,240,128,11,3
veyru/1780598092,10.0,220,119,11,3
veyru/1780598097,0.0,166,105,11,3
veyru/1780598097,1.0,265,147,11,3
veyru/1780598097,5.0,230,120,11,3
veyru/1780598097,10.0,239,121,11,3
veyru/1780598311,0.0,147,102,11,3
veyru/1780598311,1.0,143,85,11,3
veyru/1780598311,5.0,148,88,11,3
veyru/1780598311,10.0,136,79,11,3
veyru/1780598317,0.0,196,116,11,3
veyru/1780598317,1.0,203,116,11,3
veyru/1780598317,5.0,202,113,11,3
veyru/1780598317,10.0,197,111,11,3
veyru/1780598450,0.0,186,130,11,3
veyru/1780598450,1.0,181,104,11,3
veyru/1780598450,5.0,225,124,11,3
veyru/1780598450,10.0,198,108,11,3
veyru/1780600361,0.0,236,135,11,3
veyru/1780600361,1.0,446,231,11,3
veyru/1780600361,5.0,322,163,11,3
veyru/1780600361,10.0,307,156,11,3
veyru/1780600649,0.0,200,131,11,3
veyru/1780600649,1.0,301,159,11,3
veyru/1780600649,5.0,288,147,11,3
veyru/1780600649,10.0,261,131,11,3
veyru/1780611949,0.0,186,131,11,3
veyru/1780611949,1.0,291,159,11,3
veyru/1780611949,5.0,270,144,11,3
veyru/1780611949,10.0,266,142,11,3
veyru/1780612051,0.0,204,133,11,3
veyru/1780612051,1.0,204,123,11,3
veyru/1780612051,5.0,276,147,11,3
veyru/1780612051,10.0,236,125,11,3
veyru/1780650332,0.0,151,87,10,3
veyru/1780650332,1.0,162,88,10,3
veyru/1780650332,5.0,234,119,10,3
veyru/1780650332,10.0,240,122,11,3
veyru/1780650845,0.0,123,75,10,3
veyru/1780650845,1.0,134,76,10,3
veyru/1780650845,5.0,114,58,10,3
veyru/1780650845,10.0,143,72,11,3
veyru/1780651882,0.0,206,113,10,3
veyru/1780651882,1.0,233,142,10,3
veyru/1780651882,5.0,265,144,11,3
veyru/1780651882,10.0,272,148,11,3
veyru/1780652668,0.0,153,88,10,3
veyru/1780652668,1.0,174,95,10,3
veyru/1780652668,5.0,167,88,10,3
veyru/1780652668,10.0,184,101,10,3
veyru/1780652734,0.0,181,99,10,3
veyru/1780652734,1.0,220,112,10,3
veyru/1780652734,5.0,239,123,11,3
veyru/1780652734,10.0,268,137,11,3
veyru/1780653195,0.0,155,85,10,3
veyru/1780653195,1.0,176,99,10,3
veyru/1780653195,5.0,198,104,11,3
veyru/1780653195,10.0,193,102,11,3
veyru/1780653639,0.0,156,89,10,3
veyru/1780653639,1.0,172,96,10,3
veyru/1780653639,5.0,230,123,11,3
veyru/1780653639,10.0,242,127,11,3
veyru/1780654108,0.0,149,87,10,3
veyru/1780654108,1.0,177,92,10,3
veyru/1780654108,5.0,227,118,11,3
veyru/1780654108,10.0,206,106,11,3
veyru/1780654381,0.0,205,110,10,3
veyru/1780654381,1.0,252,129,10,3
veyru/1780654381,5.0,323,168,11,3
veyru/1780654381,10.0,235,119,10,3
veyru/1780654410,0.0,162,86,10,3
veyru/1780654410,1.0,186,102,10,3
veyru/1780654410,5.0,241,132,10,3
veyru/1780654410,10.0,247,132,11,3
veyru/1781173570,0.0,136,80,10,3
veyru/1781173570,1.0,161,88,10,3
veyru/1781173570,5.0,184,94,11,3
veyru/1781173570,10.0,195,100,11,3
veyru/1781173588,0.0,165,94,10,3
veyru/1781173588,1.0,187,105,10,3
veyru/1781173588,5.0,217,113,11,3
veyru/1781173588,10.0,233,125,11,3
veyru/1781173589,0.0,185,103,10,3
veyru/1781173589,1.0,202,108,10,3
veyru/1781173589,5.0,195,103,10,3
veyru/1781173589,10.0,204,108,11,3
veyru/1781173590,0.0,185,98,10,3
veyru/1781173590,1.0,191,105,10,3
veyru/1781173590,5.0,162,95,10,3
veyru/1781173590,10.0,223,118,11,3
veyru/1781173591,0.0,152,85,10,3
veyru/1781173591,1.0,242,129,10,3
veyru/1781173591,5.0,292,158,11,3
veyru/1781173591,10.0,303,157,11,3
veyru/1781173592,0.0,143,82,10,3
veyru/1781173592,1.0,191,109,10,3
veyru/1781173592,5.0,207,115,11,3
veyru/1781173592,10.0,207,113,10,3
veyru/1781173593,0.0,150,86,10,3
veyru/1781173593,1.0,203,109,10,3
veyru/1781173593,5.0,213,114,11,3
veyru/1781173593,10.0,234,126,11,3
veyru/1781173594,0.0,119,64,10,3
veyru/1781173594,1.0,156,82,10,3
veyru/1781173594,5.0,183,94,11,3
veyru/1781173594,10.0,173,89,11,3
veyru/1781173595,0.0,167,97,10,3
veyru/1781173595,1.0,266,144,10,3
veyru/1781173595,5.0,209,110,11,3
veyru/1781173595,10.0,167,87,10,3
veyru/1781175557,0.0,129,76,10,3
veyru/1781175557,1.0,139,80,10,3
veyru/1781175557,5.0,171,91,11,3
veyru/1781175557,10.0,183,97,11,3
