run_id,scenario,field_observer_model,engineer_model,model_class,postmortem,round_time_budget_seconds,random_seed,total_rounds,round_success_count,round_success_fraction,perplexity,english_ngram_surprisal,message_entropy,gzip_compression_ratio,mcm,labels
veyru/1780441494,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,2,0.1333333333,6,3.281992383,3.95552722,1.012089847,47.18367347,baseline|random_seed|budget=150|postmortem=false
veyru/1780441559,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,0,0,6,3.085299278,3.90160019,0.9984010315,51.68181818,baseline|random_seed|budget=150|postmortem=false
veyru/1780445247,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,3,0.2,6,3.299426144,3.548503253,1.12092289,41.36538462,baseline|random_seed|budget=150|postmortem=false
veyru/1780446165,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,5,0.3333333333,7,3.13529683,3.547374998,1.138388871,36.25,baseline|random_seed|budget=150|postmortem=false
veyru/1780494650,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,4,0.2666666667,6.180055373,3.179527441,3.870167378,1.024800511,46.17307692,baseline|random_seed|budget=150|postmortem=false
veyru/1780589925,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,FALSE,15,0,0,5.808951866,3.310652267,3.571470905,1.085718159,43.72131148,baseline|budget=150|single_team
veyru/1780590851,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,FALSE,15,1,0.06666666667,7,2.974500893,3.615988363,1.106822312,42.53225806,baseline|budget=150|single_team
veyru/1780610190,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,TRUE,15,0,0,7,3.098856912,3.389149821,1.199345371,39,baseline|random_seed|budget=150|postmortem=false
veyru/1781086110,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,FALSE,15,0,0,6.102880447,3.289016996,3.71910797,1.076677352,41.07142857,baseline|budget=150|single_team
veyru/1781089232,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,FALSE,15,1,0.06666666667,6,3.190165558,3.866238614,1.02659046,49.4,baseline|budget=150|single_team
veyru/1781091621,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,150,FALSE,15,1,0.06666666667,5.484346752,3.463355095,3.362611566,1.154986871,31.58108108,baseline|budget=150|single_team
veyru/1780441910,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,2,0.1333333333,6,3.205304087,3.687581139,1.059093442,51.42857143,baseline|random_seed|budget=250|postmortem=false
veyru/1780442213,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,5,0.3333333333,6,3.367899059,3.732391703,1.066008289,48.8,baseline|random_seed|budget=250|postmortem=false
veyru/1780447064,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,3,0.2,6,3.145650846,3.910148984,0.9953015493,61.03703704,baseline|random_seed|budget=250|postmortem=false
veyru/1780592256,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,FALSE,15,2,0.1333333333,6,3.188420204,3.658836534,1.079446897,46.60273973,baseline|budget=250|single_team
veyru/1780592773,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,FALSE,15,1,0.06666666667,5.759960505,2.857297946,3.676920127,1.011193802,74.4516129,baseline|budget=250|single_team
veyru/1780592851,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,FALSE,15,2,0.1333333333,6,3.038417401,3.780626241,0.9817127831,62.44776119,baseline|budget=250|single_team
veyru/1780611006,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,5,0.3333333333,6,3.064666999,3.864966739,0.992581463,60.8,baseline|random_seed|budget=250|postmortem=false
veyru/1780616311,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,6,0.4,6,3.241501383,3.925484581,1.027348221,55.12280702,baseline|random_seed|budget=250|postmortem=false
veyru/1780616671,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,TRUE,15,2,0.1333333333,6,3.290654027,3.725040702,1.073819242,54.50819672,baseline|random_seed|budget=250|postmortem=false
veyru/1781088077,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,FALSE,15,1,0.06666666667,5.919608407,3.32960164,3.738831926,1.080902596,44.20454545,baseline|budget=250|single_team
veyru/1781088333,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,250,FALSE,15,3,0.2,6,3.23042729,3.717627113,1.046268031,55.54054054,baseline|budget=250|single_team
veyru/1780442848,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,TRUE,15,12,0.8,6,3.098162284,3.822220872,1.022116345,54.90526316,baseline|random_seed|budget=450|postmortem=false
veyru/1780592944,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,FALSE,15,7,0.4666666667,6.25988887,3.089552544,3.802575586,1.023856216,52.77777778,baseline|budget=450|single_team
veyru/1780593284,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,FALSE,15,9,0.6,6,3.04688733,3.964436078,0.9853256755,61,baseline|budget=450|single_team
veyru/1780593640,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,FALSE,15,3,0.2,5.38329331,2.998360968,3.803868319,0.9773322053,73.21348315,baseline|budget=450|single_team
veyru/1780593682,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,FALSE,15,6,0.4,6.077720351,3.038415157,4.010538015,0.9880659983,65.86315789,baseline|budget=450|single_team
veyru/1780611590,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,TRUE,15,6,0.4,5.957455804,3.116508625,3.888427454,0.9970000819,64.10989011,baseline|random_seed|budget=450|postmortem=false
veyru/1780611852,veyru,claude-opus-4-7,claude-opus-4-7,closed,FALSE,450,TRUE,15,7,0.4666666667,5.874151454,3.164522386,3.721376019,1.047728727,54.36666667,baseline|random_seed|budget=450|postmortem=false
