model,provider,round_time_budget_seconds,seed,round_count,run_key,construction_id,construction_label,n_slots,native_capacity,pooled_capacity,n_attested_codebook,grid_saturation,n_control_tested,n_novel_tested,n_novel_pooled,novel_success_exact,effective_saturation_exact,novel_success_bag,effective_saturation_bag,novel_success_decodability,effective_saturation_decodability
claude-sonnet-4-6,anthropic,150,730175194,15,veyru/1778877857,K1,placement expression,2,4,45,3,0.75,3,42,41,0.5476190476190477,0.8869047619047619,0.5476190476190477,0.8869047619047619,1.0,1.0
claude-opus-4-7,anthropic,150,251510859,15,veyru/1778877868,CX_LOC_PROC,localized procedure,2,9,9,8,0.8888888888888888,8,1,0,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-7,anthropic,150,251510859,15,veyru/1778877868,CX_AIR_SCOPE,fan by scope,2,3,4,3,1.0,3,1,1,0.0,1.0,0.0,1.0,1.0,1.0
gpt-5.4,openai,150,1456952272,15,veyru/1778877873,K_LAMP_STATE,Lamp brightness expression,2,2,5,2,1.0,2,3,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,1.0
gpt-5.4,openai,150,1456952272,15,veyru/1778877873,K_COUNT_EXPR,Count expression,2,2,2,2,1.0,2,0,0,,,,,,
gpt-5.4,openai,150,1822438676,15,veyru/1778877883,CX1,cloth_placement,2,2,8,2,1.0,2,6,6,0.0,1.0,0.0,1.0,0.5833333333333334,1.0
gpt-5.4,openai,150,1822438676,15,veyru/1778877883,CX2,fan_scope,2,2,3,2,1.0,2,1,1,0.0,1.0,0.0,1.0,1.0,1.0
gpt-5.4,openai,250,1082376521,15,veyru/1778877932,PROC12_CX,procedure plus 12-second duration,2,7,8,7,1.0,7,1,1,0.0,1.0,0.0,1.0,0.5,1.0
gpt-5.4,openai,250,1840551497,15,veyru/1778877941,K1,modified_cloth,2,2,3,2,1.0,2,1,1,1.0,1.0,1.0,1.0,0.5,1.0
gpt-5.4,openai,250,1840551497,15,veyru/1778877941,K2,procedure_plus_right_face_10s,2,6,14,6,1.0,6,8,8,0.75,1.0,0.75,1.0,0.625,1.0
claude-sonnet-4-6,anthropic,250,1201171594,15,veyru/1778878790,K1,Degree + intensity,2,2,3,2,1.0,2,1,1,0.0,1.0,0.0,1.0,0.5,1.0
gpt-5.4,openai,450,507612507,15,veyru/1778878886,K1,lamp_brightness,2,2,2,2,1.0,2,0,0,,,,,,
claude-opus-4-7,anthropic,250,1108894012,15,veyru/1778878983,CX_MOD_LAMP,modifier + lamp,2,2,6,2,1.0,2,4,4,1.0,1.0,1.0,1.0,0.5,1.0
